Community Name,ARSON,BURGLARY,MOTOR VEHICLE THEFT,THEFT
North Park,0.0,0.048014596437316946,0.00960291928746339,0.10083065251836558
Norwood Park,0.0,0.04321313679358525,0.01920583857492678,0.1632496278868776
O'Hare,0.0,0.004801459643731695,0.09602919287463389,0.19205838574926778
Oakland,0.0,0.004801459643731695,0.004801459643731695,0.0816248139434388
Portage Park,0.004801459643731695,0.09602919287463389,0.11043357180582897,0.24487444183031642
Pullman,0.0,0.014404378931195084,0.028808757862390167,0.10083065251836558
Riverdale,0.004801459643731695,0.01920583857492678,0.01920583857492678,0.07202189465597542
Rogers Park,0.0,0.0864262735871705,0.033610217506121864,0.3505065539924137
Roseland,0.0,0.23047006289912134,0.12003649109329236,0.3793153118548039
South Chicago,0.004801459643731695,0.1632496278868776,0.07202189465597542,0.20646276468046287
South Deering,0.004801459643731695,0.028808757862390167,0.048014596437316946,0.12483795073702406
South Lawndale,0.00960291928746339,0.10083065251836558,0.05281605608104864,0.31689633648629184
South Shore,0.0,0.2496759014740481,0.11523503144956067,0.5761751572478033
Uptown,0.0,0.09602919287463389,0.04321313679358525,0.29769049791136504
Washington Heights,0.0,0.09602919287463389,0.033610217506121864,0.1680510875306093
Washington Park,0.0,0.07682335429970712,0.05281605608104864,0.14404378931195083
West Elsdon,0.0,0.06241897536851203,0.024007298218658473,0.06241897536851203
West Englewood,0.00960291928746339,0.23527152254285302,0.10083065251836558,0.31689633648629184
West Garfield Park,0.0,0.03841167714985356,0.0816248139434388,0.2400729821865847
West Lawn,0.014404378931195084,0.04321313679358525,0.033610217506121864,0.19205838574926778
West Pullman,0.00960291928746339,0.07202189465597542,0.09122773323090219,0.19685984539299947
West Ridge,0.0,0.11043357180582897,0.09602919287463389,0.3505065539924137
West Town,0.004801459643731695,0.29769049791136504,0.18245546646180438,1.3588130791760695
Woodlawn,0.0,0.0864262735871705,0.033610217506121864,0.20646276468046287
