ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10770058,HZ535468,12/01/2016 03:15:00 AM,067XX S CREGIER AVE,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,true,false,0332,003,5,43,24,1189360,1860745,2016,12/08/2016 03:55:45 PM,41.772935266,-87.581402676,"(41.772935266, -87.581402676)"
10770029,HZ535460,12/01/2016 03:18:00 AM,008XX W 70TH ST,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,0733,007,17,68,08B,1171727,1858433,2016,12/08/2016 03:55:45 PM,41.766995732,-87.646108057,"(41.766995732, -87.646108057)"
10770064,HZ535464,12/01/2016 03:20:00 AM,031XX N LAMON AVE,1025,ARSON,AGGRAVATED,APARTMENT,false,false,2521,025,31,19,09,1143147,1920613,2016,12/08/2016 03:55:45 PM,41.938204999,-87.749316537,"(41.938204999, -87.749316537)"
10770156,HZ535473,12/01/2016 03:22:00 AM,047XX W POLK ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,true,false,1131,011,24,25,26,1144879,1895943,2016,12/08/2016 03:55:45 PM,41.87047529,-87.74357434,"(41.87047529, -87.74357434)"
10770045,HZ535463,12/01/2016 03:25:00 AM,020XX W JARVIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,2424,024,49,1,14,1161076,1948779,2016,12/08/2016 03:55:45 PM,42.015139625,-87.682637107,"(42.015139625, -87.682637107)"
10770892,HZ536188,12/01/2016 03:30:00 AM,046XX W AUGUSTA BLVD,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1111,011,37,23,03,1145090,1906251,2016,12/08/2016 03:55:45 PM,41.898757673,-87.742539143,"(41.898757673, -87.742539143)"
10770051,HZ535474,12/01/2016 03:30:00 AM,003XX S HOMAN AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,true,1134,011,28,27,02,1153781,1897974,2016,12/08/2016 03:55:45 PM,41.875876089,-87.71083785,"(41.875876089, -87.71083785)"
10770033,HZ535465,12/01/2016 03:41:00 AM,004XX N HAMLIN AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,1122,011,27,23,26,1150977,1902728,2016,12/08/2016 03:55:45 PM,41.888976921,-87.721008653,"(41.888976921, -87.721008653)"
10770035,HZ535467,12/01/2016 03:50:00 AM,002XX S AUSTIN BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1513,015,29,25,03,1136416,1898639,2016,12/08/2016 03:55:45 PM,41.87802884,-87.774580852,"(41.87802884, -87.774580852)"
10771460,HZ536702,12/01/2016 04:00:00 AM,072XX S FRANCISCO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0831,008,18,66,14,1158292,1856508,2016,12/08/2016 03:55:45 PM,41.761997253,-87.695405353,"(41.761997253, -87.695405353)"
