Community Name,ASSAULT,BATTERY,CRIM SEXUAL ASSAULT,HOMICIDE,ROBBERY
McKinley Park,0.04253509145044662,0.04253509145044662,0.0,0.0,0.02835672763363108
Montclare,0.02835672763363108,0.01417836381681554,0.0,0.0,0.00708918190840777
Morgan Park,0.04253509145044662,0.14887282007656316,0.0,0.00708918190840777,0.01417836381681554
Mount Greenwood,0.00708918190840777,0.02835672763363108,0.0,0.0,0.0
Near North Side,0.1630511838933787,0.4466184602296895,0.00708918190840777,0.0,0.15596200198497093
Near South Side,0.0708918190840777,0.07798100099248546,0.0,0.0,0.02835672763363108
Near West Side,0.1701403658017865,0.42535091450446616,0.03544590954203885,0.0,0.1701403658017865
New City,0.13469445625974763,0.41117255068765063,0.02835672763363108,0.03544590954203885,0.1417836381681554
North Center,0.01417836381681554,0.04253509145044662,0.01417836381681554,0.0,0.00708918190840777
North Lawndale,0.3048348220615341,0.7230965546575925,0.0,0.01417836381681554,0.21267545725223308
North Park,0.00708918190840777,0.02835672763363108,0.0,0.0,0.02126754572522331
Norwood Park,0.01417836381681554,0.06380263717566993,0.0,0.0,0.01417836381681554
O'Hare,0.04962427335885439,0.07798100099248546,0.00708918190840777,0.0,0.00708918190840777
Oakland,0.01417836381681554,0.02835672763363108,0.0,0.0,0.00708918190840777
Portage Park,0.0708918190840777,0.1701403658017865,0.00708918190840777,0.0,0.02835672763363108
Pullman,0.04253509145044662,0.08507018290089324,0.00708918190840777,0.0,0.04962427335885439
Riverdale,0.0708918190840777,0.14887282007656316,0.0,0.0,0.02835672763363108
Rogers Park,0.07798100099248546,0.3261023677867574,0.00708918190840777,0.0,0.05671345526726216
Roseland,0.25521054870267973,0.5954912803062526,0.0,0.02126754572522331,0.20558627534382531
South Chicago,0.1630511838933787,0.460796824046505,0.00708918190840777,0.01417836381681554,0.0708918190840777
South Deering,0.05671345526726216,0.12051609244293209,0.0,0.0,0.06380263717566993
South Lawndale,0.15596200198497093,0.3969941868708351,0.00708918190840777,0.02126754572522331,0.07798100099248546
South Shore,0.24812136679427194,0.7868991918332624,0.01417836381681554,0.01417836381681554,0.31901318587834965
Uptown,0.0708918190840777,0.2977456401531263,0.01417836381681554,0.0,0.06380263717566993
Washington Heights,0.03544590954203885,0.18431872961860202,0.0,0.0,0.07798100099248546
Washington Park,0.09924854671770877,0.22685382106904864,0.0,0.0,0.11342691053452432
West Elsdon,0.0,0.07798100099248546,0.0,0.0,0.02835672763363108
West Englewood,0.26229973061108747,0.49624273358854387,0.00708918190840777,0.00708918190840777,0.1701403658017865
West Garfield Park,0.1630511838933787,0.42535091450446616,0.02835672763363108,0.00708918190840777,0.22685382106904864
West Lawn,0.05671345526726216,0.07798100099248546,0.0,0.00708918190840777,0.04253509145044662
West Pullman,0.14887282007656316,0.36863745923720403,0.01417836381681554,0.0,0.02835672763363108
West Ridge,0.0708918190840777,0.21267545725223308,0.01417836381681554,0.00708918190840777,0.0708918190840777
West Town,0.13469445625974763,0.2906564582447186,0.00708918190840777,0.00708918190840777,0.19140791152700978
Woodlawn,0.12051609244293209,0.26229973061108747,0.0,0.00708918190840777,0.12051609244293209
